Baby,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Money In The Grave,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Even Though I'm Leaving,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Roxanne,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
223's,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Dancing With A Stranger,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Follow God,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Suge,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Heat,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
One Thing Right,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Time,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Graveyard,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Lover,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Hot Girl Summer,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Hot Girl Bummer,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
You Need To Calm Down,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
My Type,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Camelot,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Prayed For You,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Every Little Thing,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Take What You Want,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Liar,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
What Happens In A Small Town,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
The Bones,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Immortal,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Hate Me,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Good Vibes,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Lonely Child,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Make No Sense,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
VIBEZ,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Baby Sitter,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Look At Her Now.,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Enemies,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Leave Em Alone,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
BOP,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Hot Shower,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Juicy,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Remember You Young,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
Slow Dancing In The Dark,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
It All Comes Out In The Wash,"{'Bored': 0.153281925, 'Sad': 0.4068614689, 'Happy': 0.0159506812, 'Angry': 0.210436367, 'Excited': 0.0288340611, 'Fear': 0.1846354968}"
